# x_m,y_m,total_field_nT  (synthetic magnetometer survey - 2 known buried targets)
3.000,1.500,49997.448
3.000,2.000,49994.646
3.000,2.500,49995.764
3.000,3.000,49994.337
3.000,3.500,49995.097
3.000,4.000,49994.498
3.000,4.500,49994.298
3.000,5.000,49992.788
3.000,5.500,49995.244
3.000,6.000,49995.882
3.000,6.500,49993.806
3.000,7.000,49994.186
3.000,7.500,49993.957
3.000,8.000,49993.668
3.000,8.500,49992.273
3.000,9.000,49991.647
3.000,9.500,49992.109
3.000,10.000,49990.383
3.000,10.500,49988.279
3.000,11.000,49989.245
3.000,11.500,49985.875
3.000,12.000,49988.246
3.000,12.500,49988.492
3.000,13.000,49989.436
3.000,13.500,49987.627
3.000,14.000,49988.730
3.000,14.500,49987.399
3.000,15.000,49986.047
3.000,15.500,49985.755
3.000,16.000,49986.800
3.000,16.500,49986.658
3.000,17.000,49990.160
3.000,17.500,49989.428
3.000,18.000,49991.135
3.000,18.500,49990.923
3.000,19.000,49992.895
3.000,19.500,49993.409
3.000,20.000,49991.308
3.250,0.000,49995.354
3.250,0.500,49994.876
3.250,1.000,49993.142
3.250,1.500,49996.474
3.250,2.000,49997.118
3.250,2.500,49995.184
3.250,3.000,49994.297
3.250,3.500,49996.497
3.250,4.000,49991.146
3.250,4.500,49994.709
3.250,5.000,49994.410
3.250,5.500,49993.062
3.250,6.000,49995.696
3.250,6.500,49994.720
3.250,7.000,49992.489
3.250,7.500,49992.328
3.250,8.000,49991.412
3.250,8.500,49990.721
3.250,9.000,49988.984
3.250,9.500,49992.440
3.250,10.000,49991.313
3.250,10.500,49990.357
3.250,11.000,49986.915
3.250,11.500,49991.102
3.250,12.000,49990.430
3.250,12.500,49987.300
3.250,13.000,49985.324
3.250,13.500,49985.169
3.250,14.000,49987.024
3.250,14.500,49985.099
3.250,15.000,49986.629
3.250,15.500,49988.651
3.250,16.000,49985.199
3.250,16.500,49990.990
3.250,17.000,49990.906
3.250,17.500,49987.304
3.250,18.000,49987.650
3.250,18.500,49989.945
3.250,19.000,49989.400
3.250,19.500,49991.094
3.250,20.000,49988.123
3.500,0.000,49995.380
3.500,0.500,49998.334
3.500,1.000,49993.849
3.500,1.500,49994.997
3.500,2.000,49993.041
3.500,2.500,49996.086
3.500,3.000,49994.626
3.500,3.500,49997.690
3.500,4.000,49994.881
3.500,4.500,49993.778
3.500,5.000,49994.899
3.500,5.500,49993.019
3.500,6.000,49991.438
3.500,6.500,49993.528
3.500,7.000,49992.399
3.500,7.500,49992.450
3.500,8.000,49992.255
3.500,8.500,49990.370
3.500,9.000,49991.165
3.500,9.500,49992.496
3.500,10.000,49987.552
3.500,10.500,49991.128
3.500,11.000,49987.469
3.500,11.500,49986.024
3.500,12.000,49990.212
3.500,12.500,49986.291
3.500,13.000,49987.722
3.500,13.500,49986.646
3.500,14.000,49982.814
3.500,14.500,49985.601
3.500,15.000,49984.878
3.500,15.500,49984.046
3.500,16.000,49983.914
3.500,16.500,49987.327
3.500,17.000,49988.719
3.500,17.500,49989.108
3.500,18.000,49988.755
3.500,18.500,49988.691
3.500,19.000,49989.052
3.500,19.500,49990.303
3.500,20.000,49990.142
3.750,0.000,49995.371
3.750,0.500,49995.544
3.750,1.000,49994.126
3.750,1.500,49995.000
3.750,2.000,49994.071
3.750,2.500,49995.051
3.750,3.000,49995.646
3.750,3.500,49994.958
3.750,4.000,49995.180
3.750,4.500,49991.746
3.750,5.000,49993.377
3.750,5.500,49994.045
3.750,6.000,49994.237
3.750,6.500,49990.478
3.750,7.000,49992.666
3.750,7.500,49993.735
3.750,8.000,49991.101
3.750,8.500,49990.613
3.750,9.000,49990.761
3.750,9.500,49989.737
3.750,10.000,49989.618
3.750,10.500,49987.930
3.750,11.000,49987.263
3.750,11.500,49985.102
3.750,12.000,49985.323
3.750,12.500,49986.862
3.750,13.000,49984.218
3.750,13.500,49983.983
3.750,14.000,49983.399
3.750,14.500,49985.416
3.750,15.000,49983.242
3.750,15.500,49986.349
3.750,16.000,49984.173
3.750,16.500,49984.689
3.750,17.000,49987.343
3.750,17.500,49988.016
3.750,18.000,49989.052
3.750,18.500,49990.960
3.750,19.000,49989.467
3.750,19.500,49991.419
3.750,20.000,49990.004
4.000,0.000,49997.512
4.000,0.500,49996.472
4.000,1.000,49996.215
4.000,1.500,49995.566
4.000,2.000,49993.963
4.000,2.500,49994.491
4.000,3.000,49995.554
4.000,3.500,49994.569
4.000,4.000,49994.552
4.000,4.500,49992.066
4.000,5.000,49994.081
4.000,5.500,49992.436
4.000,6.000,49991.469
4.000,6.500,49992.432
4.000,7.000,49989.394
4.000,7.500,49992.681
4.000,8.000,49992.302
4.000,8.500,49990.267
4.000,9.000,49988.113
4.000,9.500,49987.381
4.000,10.000,49987.715
4.000,10.500,49983.415
4.000,11.000,49986.422
4.000,11.500,49986.273
4.000,12.000,49984.001
4.000,12.500,49983.033
4.000,13.000,49983.511
4.000,13.500,49983.425
4.000,14.000,49984.424
4.000,14.500,49982.926
4.000,15.000,49982.203
4.000,15.500,49983.082
4.000,16.000,49984.742
4.000,16.500,49987.611
4.000,17.000,49985.671
4.000,17.500,49985.472
4.000,18.000,49986.637
4.000,18.500,49985.654
4.000,19.000,49990.099
4.000,19.500,49988.305
4.000,20.000,49989.173
4.250,0.000,49992.602
4.250,0.500,49993.785
4.250,1.000,49996.198
4.250,1.500,49993.247
4.250,2.000,49992.442
4.250,2.500,49995.167
4.250,3.000,49994.200
4.250,3.500,49995.146
4.250,4.000,49995.366
4.250,4.500,49993.967
4.250,5.000,49991.719
4.250,5.500,49993.123
4.250,6.000,49993.653
4.250,6.500,49991.566
4.250,7.000,49989.760
4.250,7.500,49992.978
4.250,8.000,49990.033
4.250,8.500,49989.297
4.250,9.000,49989.110
4.250,9.500,49989.731
4.250,10.000,49987.614
4.250,10.500,49985.706
4.250,11.000,49986.198
4.250,11.500,49987.387
4.250,12.000,49985.310
4.250,12.500,49983.426
4.250,13.000,49980.104
4.250,13.500,49987.017
4.250,14.000,49979.454
4.250,14.500,49980.831
4.250,15.000,49980.738
4.250,15.500,49984.857
4.250,16.000,49983.859
4.250,16.500,49982.025
4.250,17.000,49985.576
4.250,17.500,49987.026
4.250,18.000,49986.741
4.250,18.500,49986.355
4.250,19.000,49987.998
4.250,19.500,49989.255
4.250,20.000,49990.690
4.500,0.000,49994.723
4.500,0.500,49996.498
4.500,1.000,49993.850
4.500,1.500,49992.542
4.500,2.000,49993.877
4.500,2.500,49996.836
4.500,3.000,49993.756
4.500,3.500,49997.903
4.500,4.000,49994.875
4.500,4.500,49992.100
4.500,5.000,49992.264
4.500,5.500,49993.501
4.500,6.000,49990.936
4.500,6.500,49995.768
4.500,7.000,49990.154
4.500,7.500,49992.017
4.500,8.000,49992.456
4.500,8.500,49989.281
4.500,9.000,49987.036
4.500,9.500,49987.112
4.500,10.000,49986.975
4.500,10.500,49986.594
4.500,11.000,49984.183
4.500,11.500,49980.832
4.500,12.000,49981.905
4.500,12.500,49979.883
4.500,13.000,49976.879
4.500,13.500,49978.636
4.500,14.000,49977.373
4.500,14.500,49980.563
4.500,15.000,49983.070
4.500,15.500,49983.681
4.500,16.000,49980.982
4.500,16.500,49982.231
4.500,17.000,49985.131
4.500,17.500,49986.872
4.500,18.000,49985.804
4.500,18.500,49987.308
4.500,19.000,49991.840
4.500,19.500,49989.284
4.500,20.000,49989.538
4.750,0.000,49995.613
4.750,0.500,49996.192
4.750,1.000,49993.666
4.750,1.500,49994.685
4.750,2.000,49993.150
4.750,2.500,49994.301
4.750,3.000,49997.329
4.750,3.500,49995.393
4.750,4.000,49993.874
4.750,4.500,49992.308
4.750,5.000,49992.890
4.750,5.500,49994.530
4.750,6.000,49991.649
4.750,6.500,49994.135
4.750,7.000,49989.289
4.750,7.500,49990.216
4.750,8.000,49992.467
4.750,8.500,49985.938
4.750,9.000,49989.716
4.750,9.500,49984.030
4.750,10.000,49985.443
4.750,10.500,49984.008
4.750,11.000,49984.148
4.750,11.500,49976.832
4.750,12.000,49977.417
4.750,12.500,49978.334
4.750,13.000,49978.369
4.750,13.500,49976.419
4.750,14.000,49977.236
4.750,14.500,49975.979
4.750,15.000,49977.712
4.750,15.500,49977.913
4.750,16.000,49980.660
4.750,16.500,49982.436
4.750,17.000,49985.061
4.750,17.500,49983.282
4.750,18.000,49985.101
4.750,18.500,49986.879
4.750,19.000,49987.491
4.750,19.500,49988.871
4.750,20.000,49987.510
5.000,0.000,49995.916
5.000,0.500,49993.871
5.000,1.000,49993.680
5.000,1.500,49992.589
5.000,2.000,49996.548
5.000,2.500,49994.408
5.000,3.000,49996.130
5.000,3.500,49994.570
5.000,4.000,49991.327
5.000,4.500,49991.935
5.000,5.000,49994.328
5.000,5.500,49991.616
5.000,6.000,49990.636
5.000,6.500,49991.433
5.000,7.000,49990.780
5.000,7.500,49988.770
5.000,8.000,49988.928
5.000,8.500,49987.706
5.000,9.000,49983.413
5.000,9.500,49986.793
5.000,10.000,49983.435
5.000,10.500,49985.118
5.000,11.000,49979.881
5.000,11.500,49977.678
5.000,12.000,49980.351
5.000,12.500,49974.891
5.000,13.000,49975.292
5.000,13.500,49976.488
5.000,14.000,49974.872
5.000,14.500,49973.109
5.000,15.000,49976.528
5.000,15.500,49976.977
5.000,16.000,49980.495
5.000,16.500,49980.931
5.000,17.000,49986.160
5.000,17.500,49980.693
5.000,18.000,49984.620
5.000,18.500,49984.439
5.000,19.000,49989.030
5.000,19.500,49989.657
5.000,20.000,49990.549
5.250,0.000,49994.110
5.250,0.500,49994.041
5.250,1.000,49991.982
5.250,1.500,49997.441
5.250,2.000,49995.469
5.250,2.500,49994.122
5.250,3.000,49995.691
5.250,3.500,49995.163
5.250,4.000,49995.207
5.250,4.500,49990.972
5.250,5.000,49991.946
5.250,5.500,49992.859
5.250,6.000,49992.575
5.250,6.500,49992.869
5.250,7.000,49989.214
5.250,7.500,49990.098
5.250,8.000,49992.267
5.250,8.500,49988.906
5.250,9.000,49987.928
5.250,9.500,49985.187
5.250,10.000,49984.805
5.250,10.500,49984.665
5.250,11.000,49980.335
5.250,11.500,49980.210
5.250,12.000,49975.341
5.250,12.500,49976.017
5.250,13.000,49975.289
5.250,13.500,49972.036
5.250,14.000,49974.546
5.250,14.500,49972.151
5.250,15.000,49972.725
5.250,15.500,49975.130
5.250,16.000,49979.551
5.250,16.500,49978.837
5.250,17.000,49981.578
5.250,17.500,49980.861
5.250,18.000,49983.770
5.250,18.500,49983.450
5.250,19.000,49985.765
5.250,19.500,49989.122
5.250,20.000,49988.902
5.500,0.000,49997.364
5.500,0.500,49994.764
5.500,1.000,49994.634
5.500,1.500,49996.692
5.500,2.000,49993.628
5.500,2.500,49992.121
5.500,3.000,49996.122
5.500,3.500,49994.526
5.500,4.000,49990.352
5.500,4.500,49993.313
5.500,5.000,49992.231
5.500,5.500,49994.977
5.500,6.000,49990.710
5.500,6.500,49990.283
5.500,7.000,49989.030
5.500,7.500,49987.929
5.500,8.000,49987.428
5.500,8.500,49985.129
5.500,9.000,49984.358
5.500,9.500,49981.927
5.500,10.000,49980.333
5.500,10.500,49978.314
5.500,11.000,49977.829
5.500,11.500,49975.506
5.500,12.000,49972.695
5.500,12.500,49973.479
5.500,13.000,49971.289
5.500,13.500,49969.814
5.500,14.000,49969.456
5.500,14.500,49972.851
5.500,15.000,49971.720
5.500,15.500,49973.474
5.500,16.000,49970.655
5.500,16.500,49975.551
5.500,17.000,49975.354
5.500,17.500,49980.014
5.500,18.000,49983.139
5.500,18.500,49983.325
5.500,19.000,49986.683
5.500,19.500,49985.749
5.500,20.000,49989.343
5.750,0.000,49992.761
5.750,0.500,49994.575
5.750,1.000,49995.458
5.750,1.500,49995.473
5.750,2.000,49994.297
5.750,2.500,49997.190
5.750,3.000,49993.420
5.750,3.500,49993.090
5.750,4.000,49989.309
5.750,4.500,49995.732
5.750,5.000,49992.095
5.750,5.500,49990.381
5.750,6.000,49993.537
5.750,6.500,49992.718
5.750,7.000,49990.215
5.750,7.500,49986.946
5.750,8.000,49988.607
5.750,8.500,49985.737
5.750,9.000,49983.393
5.750,9.500,49984.967
5.750,10.000,49978.228
5.750,10.500,49980.095
5.750,11.000,49977.598
5.750,11.500,49977.592
5.750,12.000,49972.694
5.750,12.500,49967.064
5.750,13.000,49967.276
5.750,13.500,49967.590
5.750,14.000,49967.669
5.750,14.500,49968.964
5.750,15.000,49965.591
5.750,15.500,49969.657
5.750,16.000,49973.661
5.750,16.500,49976.832
5.750,17.000,49979.700
5.750,17.500,49978.659
5.750,18.000,49983.074
5.750,18.500,49985.970
5.750,19.000,49986.946
5.750,19.500,49987.755
5.750,20.000,49989.220
6.000,0.000,49993.803
6.000,0.500,49992.690
6.000,1.000,49996.192
6.000,1.500,49994.034
6.000,2.000,49994.326
6.000,2.500,49993.285
6.000,3.000,49993.317
6.000,3.500,49993.970
6.000,4.000,49991.757
6.000,4.500,49993.006
6.000,5.000,49992.822
6.000,5.500,49991.807
6.000,6.000,49990.185
6.000,6.500,49991.746
6.000,7.000,49992.507
6.000,7.500,49987.769
6.000,8.000,49989.309
6.000,8.500,49987.362
6.000,9.000,49980.375
6.000,9.500,49981.272
6.000,10.000,49979.246
6.000,10.500,49978.904
6.000,11.000,49975.351
6.000,11.500,49973.037
6.000,12.000,49970.627
6.000,12.500,49965.969
6.000,13.000,49964.350
6.000,13.500,49962.461
6.000,14.000,49963.638
6.000,14.500,49964.116
6.000,15.000,49965.726
6.000,15.500,49966.226
6.000,16.000,49971.032
6.000,16.500,49973.701
6.000,17.000,49977.388
6.000,17.500,49978.798
6.000,18.000,49980.478
6.000,18.500,49983.423
6.000,19.000,49985.269
6.000,19.500,49985.051
6.000,20.000,49989.392
6.250,0.000,49997.453
6.250,0.500,49997.712
6.250,1.000,49994.652
6.250,1.500,49994.918
6.250,2.000,49994.864
6.250,2.500,49994.015
6.250,3.000,49994.693
6.250,3.500,49993.286
6.250,4.000,49992.833
6.250,4.500,49995.360
6.250,5.000,49992.497
6.250,5.500,49991.794
6.250,6.000,49992.360
6.250,6.500,49990.484
6.250,7.000,49989.770
6.250,7.500,49988.135
6.250,8.000,49985.089
6.250,8.500,49985.317
6.250,9.000,49981.820
6.250,9.500,49981.690
6.250,10.000,49977.127
6.250,10.500,49977.491
6.250,11.000,49974.218
6.250,11.500,49970.391
6.250,12.000,49966.804
6.250,12.500,49964.924
6.250,13.000,49959.301
6.250,13.500,49959.324
6.250,14.000,49960.314
6.250,14.500,49961.487
6.250,15.000,49962.130
6.250,15.500,49962.792
6.250,16.000,49967.154
6.250,16.500,49969.290
6.250,17.000,49971.491
6.250,17.500,49976.610
6.250,18.000,49978.584
6.250,18.500,49983.170
6.250,19.000,49984.523
6.250,19.500,49986.465
6.250,20.000,49987.402
6.500,0.000,49993.487
6.500,0.500,49993.220
6.500,1.000,49992.266
6.500,1.500,49998.619
