x_m,y_m,value
16.8333,0.0000,-259.364335
17.0000,0.0000,-282.649546
17.1667,0.0000,-309.318249
17.3333,0.0000,-339.839405
17.5000,0.0000,-374.731028
17.6667,0.0000,-414.569798
17.8333,0.0000,-460.003266
18.0000,0.0000,-511.761044
18.1667,0.0000,-570.660889
18.3333,0.0000,-637.607474
18.5000,0.0000,-713.585439
18.6667,0.0000,-799.652100
18.8333,0.0000,-896.936688
19.0000,0.0000,-1006.651585
19.1667,0.0000,-1130.117438
19.3333,0.0000,-1268.799662
19.5000,0.0000,-1424.348863
19.6667,0.0000,-1598.630169
19.8333,0.0000,-1793.714276
20.0000,0.0000,-2011.786181
20.1667,0.0000,-2254.911132
20.3333,0.0000,-2524.592456
20.5000,0.0000,-2821.077973
20.6667,0.0000,-3142.434263
20.8333,0.0000,-3483.511934
21.0000,0.0000,-3835.047559
21.1667,0.0000,-4183.240796
21.3333,0.0000,-4510.149222
21.5000,0.0000,-4795.116735
21.6667,0.0000,-5017.195937
21.8333,0.0000,-5158.199454
22.0000,0.0000,-5205.728893
22.1667,0.0000,-5155.412855
22.3333,0.0000,-5011.727661
22.5000,0.0000,-4787.159623
22.6667,0.0000,-4499.952921
22.8333,0.0000,-4171.072166
23.0000,0.0000,-3821.150402
23.1667,0.0000,-3468.074754
23.3333,0.0000,-3125.573846
23.5000,0.0000,-2802.843545
23.6667,0.0000,-2504.990571
23.8333,0.0000,-2233.946247
24.0000,0.0000,-1989.507574
24.1667,0.0000,-1770.257799
24.3333,0.0000,-1574.243943
24.5000,0.0000,-1399.395406
24.6667,0.0000,-1243.732212
24.8333,0.0000,-1105.434362
25.0000,0.0000,-982.838265
25.1667,0.0000,-874.407676
25.3333,0.0000,-778.706423
25.5000,0.0000,-694.384087
25.6667,0.0000,-620.175346
25.8333,0.0000,-554.908047
26.0000,0.0000,-497.512987
26.1667,0.0000,-447.029164
26.3333,0.0000,-402.601209
26.5000,0.0000,-363.469756
26.6667,0.0000,-328.958851
26.8333,0.0000,-298.465417
27.0000,0.0000,-271.453845
27.1667,0.0000,-247.455364
27.3333,0.0000,-226.069150
27.5000,0.0000,-206.961653
27.6667,0.0000,-189.862082
27.8333,0.0000,-174.554061
28.0000,0.0000,-160.864690
28.1667,0.0000,-148.652571
28.3333,0.0000,-137.796115
28.5000,0.0000,-128.183351
28.6667,0.0000,-119.704354
28.8333,0.0000,-112.247146
29.0000,0.0000,-105.697186
29.1667,0.0000,-99.939730
29.3333,0.0000,-94.863728
29.5000,0.0000,-90.365836
29.6667,0.0000,-86.353500
29.8333,0.0000,-82.746654
30.0000,0.0000,-79.478029
0.0000,0.1667,-20.296529
0.1667,0.1667,-21.079435
0.3333,0.1667,-21.917801
0.5000,0.1667,-22.813895
0.6667,0.1667,-23.769797
0.8333,0.1667,-24.787081
1.0000,0.1667,-25.866243
1.1667,0.1667,-27.005885
1.3333,0.1667,-28.201798
1.5000,0.1667,-29.446192
1.6667,0.1667,-30.727420
1.8333,0.1667,-32.030403
2.0000,0.1667,-33.337727
2.1667,0.1667,-34.631060
2.3333,0.1667,-35.892456
2.5000,0.1667,-37.105346
2.6667,0.1667,-38.255493
2.8333,0.1667,-39.332509
3.0000,0.1667,-40.332341
3.1667,0.1667,-41.260332
3.3333,0.1667,-42.133470
3.5000,0.1667,-42.979973
3.6667,0.1667,-43.834852
3.8333,0.1667,-44.731661
4.0000,0.1667,-45.692669
4.1667,0.1667,-46.721062
4.3333,0.1667,-47.798726
4.5000,0.1667,-48.891394
4.6667,0.1667,-49.960174
4.8333,0.1667,-50.975925
5.0000,0.1667,-51.931441
5.1667,0.1667,-52.846752
5.3333,0.1667,-53.764809
5.5000,0.1667,-54.738075
5.6667,0.1667,-55.809893
5.8333,0.1667,-56.996780
6.0000,0.1667,-58.277890
6.1667,0.1667,-59.595650
6.3333,0.1667,-60.867619
6.5000,0.1667,-62.005504
6.6667,0.1667,-62.934794
6.8333,0.1667,-63.608998
7.0000,0.1667,-64.015525
7.1667,0.1667,-64.174206
7.3333,0.1667,-64.131713
7.5000,0.1667,-63.954805
7.6667,0.1667,-63.723317
7.8333,0.1667,-63.522139
8.0000,0.1667,-63.431603
8.1667,0.1667,-63.517158
8.3333,0.1667,-63.820759
8.5000,0.1667,-64.356602
8.6667,0.1667,-65.112701
8.8333,0.1667,-66.057940
9.0000,0.1667,-67.152438
9.1667,0.1667,-68.357832
9.3333,0.1667,-69.643949
9.5000,0.1667,-70.989486
9.6667,0.1667,-72.376660
9.8333,0.1667,-73.782552
10.0000,0.1667,-75.171664
10.1667,0.1667,-76.493923
10.3333,0.1667,-77.689939
10.5000,0.1667,-78.701872
10.6667,0.1667,-79.485880
10.8333,0.1667,-80.021913
11.0000,0.1667,-80.318463
11.1667,0.1667,-80.412132
11.3333,0.1667,-80.363366
11.5000,0.1667,-80.249895
11.6667,0.1667,-80.159086
11.8333,0.1667,-80.180101
12.0000,0.1667,-80.396710
12.1667,0.1667,-80.881355
12.3333,0.1667,-81.690535
12.5000,0.1667,-82.861156
12.6667,0.1667,-84.407637
12.8333,0.1667,-86.320385
13.0000,0.1667,-88.567111
13.1667,0.1667,-91.098347
13.3333,0.1667,-93.857301
13.5000,0.1667,-96.792151
13.6667,0.1667,-99.867324
13.8333,0.1667,-103.070297
14.0000,0.1667,-106.412136
14.1667,0.1667,-109.922600
14.3333,0.1667,-113.642788
14.5000,0.1667,-117.618980
14.6667,0.1667,-121.900310
14.8333,0.1667,-126.540920
15.0000,0.1667,-131.605253
15.1667,0.1667,-137.174073
15.3333,0.1667,-143.349036
15.5000,0.1667,-150.254883
15.6667,0.1667,-158.039854
15.8333,0.1667,-166.875823
16.0000,0.1667,-176.959667
16.1667,0.1667,-188.516564
16.3333,0.1667,-201.804814
16.5000,0.1667,-217.120997
16.6667,0.1667,-234.804006
16.8333,0.1667,-255.236999
17.0000,0.1667,-278.847504
17.1667,0.1667,-306.107410
17.3333,0.1667,-337.535775
17.5000,0.1667,-373.707274
17.6667,0.1667,-415.267210
17.8333,0.1667,-462.950563
18.0000,0.1667,-517.599208
18.1667,0.1667,-580.170602
18.3333,0.1667,-651.734542
18.5000,0.1667,-733.460959
18.6667,0.1667,-826.607788
18.8333,0.1667,-932.520096
19.0000,0.1667,-1052.648873
19.1667,0.1667,-1188.592376
19.3333,0.1667,-1342.157558
19.5000,0.1667,-1515.433904
19.6667,0.1667,-1710.863419
19.8333,0.1667,-1931.273684
20.0000,0.1667,-2179.814644
20.1667,0.1667,-2459.710718
20.3333,0.1667,-2773.724296
20.5000,0.1667,-3123.248829
20.6667,0.1667,-3507.032655
20.8333,0.1667,-3919.684580
21.0000,0.1667,-4350.298968
21.1667,0.1667,-4781.689835
21.3333,0.1667,-5190.748927
21.5000,0.1667,-5550.274679
21.6667,0.1667,-5832.255436
21.8333,0.1667,-6012.112880
22.0000,0.1667,-6072.978367
22.1667,0.1667,-6008.881862
22.3333,0.1667,-5825.927440
22.5000,0.1667,-5541.095948
22.6667,0.1667,-5179.037528
22.8333,0.1667,-4767.783396
23.0000,0.1667,-4334.500269
23.1667,0.1667,-3902.216615
23.3333,0.1667,-3488.014212
23.5000,0.1667,-3102.698160
23.6667,0.1667,-2751.592205
23.8333,0.1667,-2435.936986
24.0000,0.1667,-2154.395090
24.1667,0.1667,-1904.321502
24.3333,0.1667,-1682.648782
24.5000,0.1667,-1486.390252
24.6667,0.1667,-1312.850593
24.8333,0.1667,-1159.656795
25.0000,0.1667,-1024.706317
25.1667,0.1667,-906.097306
25.3333,0.1667,-802.074383
25.5000,0.1667,-711.000614
25.6667,0.1667,-631.352836
25.8333,0.1667,-561.731152
26.0000,0.1667,-500.871567
26.1667,0.1667,-447.652173
26.3333,0.1667,-401.087602
26.5000,0.1667,-360.312683
26.6667,0.1667,-324.561724
26.8333,0.1667,-293.151613
27.0000,0.1667,-265.473979
27.1667,0.1667,-240.995945
27.3333,0.1667,-219.264387
27.5000,0.1667,-199.907693
27.6667,0.1667,-182.631522
27.8333,0.1667,-167.208499
28.0000,0.1667,-153.463880
28.1667,0.1667,-141.259615
28.3333,0.1667,-130.478760
28.5000,0.1667,-121.011935
28.6667,0.1667,-112.747480
28.8333,0.1667,-105.566515
29.0000,0.1667,-99.343083
29.1667,0.1667,-93.948241
29.3333,0.1667,-89.256070
29.5000,0.1667,-85.149529
29.6667,0.1667,-81.524739
29.8333,0.1667,-78.293154
30.0000,0.1667,-75.381796
0.0000,0.3333,-20.691632
0.1667,0.3333,-21.551037
0.3333,0.3333,-22.477029
0.5000,0.3333,-23.472913
0.6667,0.3333,-24.541924
0.8333,0.3333,-25.686879
1.0000,0.3333,-26.909487
1.1667,0.3333,-28.209257
1.3333,0.3333,-29.582165
1.5000,0.3333,-31.019430
1.6667,0.3333,-32.506896
1.8333,0.3333,-34.025410
2.0000,0.3333,-35.552208
2.1667,0.3333,-37.062858
2.3333,0.3333,-38.533073
2.5000,0.3333,-39.940034
2.6667,0.3333,-41.263568
2.8333,0.3333,-42.488089
3.0000,0.3333,-43.606024
3.1667,0.3333,-44.622328
3.3333,0.3333,-45.558147
3.5000,0.3333,-46.450869
3.6667,0.3333,-47.348391
3.8333,0.3333,-48.297688
4.0000,0.3333,-49.330756
4.1667,0.3333,-50.453142
4.3333,0.3333,-51.640254
4.5000,0.3333,-52.844168
4.6667,0.3333,-54.009696
4.8333,0.3333,-55.094800
5.0000,0.3333,-56.088273
5.1667,0.3333,-57.017864
5.3333,0.3333,-57.944769
5.5000,0.3333,-58.944986
5.6667,0.3333,-60.082978
5.8333,0.3333,-61.386385
6.0000,0.3333,-62.830764
6.1667,0.3333,-64.340065
6.3333,0.3333,-65.802919
6.5000,0.3333,-67.098967
6.6667,0.3333,-68.126002
6.8333,0.3333,-68.819457
7.0000,0.3333,-69.160277
7.1667,0.3333,-69.172762
7.3333,0.3333,-68.917141
7.5000,0.3333,-68.480907
7.6667,0.3333,-67.969827
7.8333,0.3333,-67.497219
8.0000,0.3333,-67.170572
8.1667,0.3333,-67.077035
8.3333,0.3333,-67.271552
8.5000,0.3333,-67.771450
8.6667,0.3333,-68.559384
8.8333,0.3333,-69.593701
9.0000,0.3333,-70.822921
9.1667,0.3333,-72.199554
9.3333,0.3333,-73.688422
9.5000,0.3333,-75.266293
9.6667,0.3333,-76.912989
9.8333,0.3333,-78.598062
10.0000,0.3333,-80.269794
10.1667,0.3333,-81.852820
10.3333,0.3333,-83.256867
10.5000,0.3333,-84.393877
10.6667,0.3333,-85.197074
10.8333,0.3333,-85.635447
11.0000,0.3333,-85.720115
11.1667,0.3333,-85.502744
11.3333,0.3333,-85.068349
11.5000,0.3333,-84.524968
11.6667,0.3333,-83.991969
11.8333,0.3333,-83.588349
12.0000,0.3333,-83.422446
12.1667,0.3333,-83.584187
12.3333,0.3333,-84.140039
12.5000,0.3333,-85.129716
12.6667,0.3333,-86.563653
12.8333,0.3333,-88.421504
13.0000,0.3333,-90.653604
13.1667,0.3333,-93.187776
13.3333,0.3333,-95.942278
13.5000,0.3333,-98.842552
13.6667,0.3333,-101.836810
13.8333,0.3333,-104.905127
14.0000,0.3333,-108.059282
14.1667,0.3333,-111.334644
14.3333,0.3333,-114.778786
14.5000,0.3333,-118.442346
14.6667,0.3333,-122.375821
14.8333,0.3333,-126.632775
15.0000,0.3333,-131.277067
15.1667,0.3333,-136.390551
15.3333,0.3333,-142.078513
15.5000,0.3333,-148.472142
15.6667,0.3333,-155.729231
15.8333,0.3333,-164.035112
16.0000,0.3333,-173.605196
16.1667,0.3333,-184.689214
16.3333,0.3333,-197.576201
16.5000,0.3333,-212.598861
16.6667,0.3333,-230.136210
16.8333,0.3333,-250.614004
17.0000,0.3333,-274.503641
17.1667,0.3333,-302.321788
17.3333,0.3333,-334.634583
17.5000,0.3333,-372.070374
17.6667,0.3333,-415.342322
17.8333,0.3333,-465.277021
18.0000,0.3333,-522.839920
18.1667,0.3333,-589.146997
18.3333,0.3333,-665.457469
18.5000,0.3333,-753.152679
18.6667,0.3333,-853.715815
18.8333,0.3333,-968.729782
19.0000,0.3333,-1099.905323
19.1667,0.3333,-1249.142948
19.3333,0.3333,-1418.625833
19.5000,0.3333,-1610.936719
19.6667,0.3333,-1829.183171
19.8333,0.3333,-2077.093276
20.0000,0.3333,-2359.004465
20.1667,0.3333,-2679.620472
20.3333,0.3333,-3043.378972
20.5000,0.3333,-3453.291230
20.6667,0.3333,-3909.222438
20.8333,0.3333,-4405.792215
21.0000,0.3333,-4930.350249
21.1667,0.3333,-5461.718195
21.3333,0.3333,-5970.448636
21.5000,0.3333,-6421.132368
21.6667,0.3333,-6776.779114
21.8333,0.3333,-7004.615383
22.0000,0.3333,-7082.007889
22.1667,0.3333,-7000.918048
22.3333,0.3333,-6769.551832
22.5000,0.3333,-6410.682703
22.6667,0.3333,-5957.173399
22.8333,0.3333,-5446.036332
23.0000,0.3333,-4912.631325
23.1667,0.3333,-4386.295524
23.3333,0.3333,-3888.062081
23.5000,0.3333,-3430.438573
23.6667,0.3333,-3018.705706
23.8333,0.3333,-2652.975043
24.0000,0.3333,-2330.304980
24.1667,0.3333,-2046.414206
24.3333,0.3333,-1796.813092
24.5000,0.3333,-1577.390148
24.6667,0.3333,-1384.602692
24.8333,0.3333,-1215.442094
25.0000,0.3333,-1067.311006
25.1667,0.3333,-937.898362
25.3333,0.3333,-825.091214
25.5000,0.3333,-726.930961
25.6667,0.3333,-641.605166
25.8333,0.3333,-567.459974
26.0000,0.3333,-503.017126
26.1667,0.3333,-446.981706
26.3333,0.3333,-398.232579
26.5000,0.3333,-355.796548
26.6667,0.3333,-318.815961
26.8333,0.3333,-286.522818
27.0000,0.3333,-258.227998
27.1667,0.3333,-233.324986
27.3333,0.3333,-211.299815
27.5000,0.3333,-191.737320
27.6667,0.3333,-174.317924
27.8333,0.3333,-158.804918
28.0000,0.3333,-145.025584
28.1667,0.3333,-132.849979
28.3333,0.3333,-122.170242
28.5000,0.3333,-112.882760
28.6667,0.3333,-104.875462
28.8333,0.3333,-98.021979
29.0000,0.3333,-92.182865
29.1667,0.3333,-87.212133
29.3333,0.3333,-82.966119
29.5000,0.3333,-79.311715
29.6667,0.3333,-76.132076
29.8333,0.3333,-73.329262
30.0000,0.3333,-70.824234
0.0000,0.5000,-21.088130
0.1667,0.5000,-22.030359
0.3333,0.5000,-23.051922
0.5000,0.5000,-24.157343
0.6667,0.5000,-25.351239
0.8333,0.5000,-26.638004
1.0000,0.5000,-28.021031
1.1667,0.5000,-29.501336
1.3333,0.5000,-31.075736
1.5000,0.5000,-32.735012
1.6667,0.5000,-34.462774
1.8333,0.5000,-36.235649
2.0000,0.5000,-38.024907
2.1667,0.5000,-39.798943
2.3333,0.5000,-41.525644
2.5000,0.5000,-43.174033
2.6667,0.5000,-44.715632
2.8333,0.5000,-46.126905
3.0000,0.5000,-47.393977
3.1667,0.5000,-48.519251
3.3333,0.5000,-49.527307
3.5000,0.5000,-50.466000
3.6667,0.5000,-51.399383
3.8333,0.5000,-52.392267
4.0000,0.5000,-53.490523
4.1667,0.5000,-54.704529
4.3333,0.5000,-56.003172
4.5000,0.5000,-57.322416
4.6667,0.5000,-58.586940
4.8333,0.5000,-59.738197
5.0000,0.5000,-60.759208
5.1667,0.5000,-61.686555
5.3333,0.5000,-62.603672
5.5000,0.5000,-63.615819
5.6667,0.5000,-64.814072
5.8333,0.5000,-66.240449
6.0000,0.5000,-67.866600
6.1667,0.5000,-69.593989
6.3333,0.5000,-71.275661
6.5000,0.5000,-72.751672
6.6667,0.5000,-73.885565
6.8333,0.5000,-74.590382
7.0000,0.5000,-74.838972
7.1667,0.5000,-74.661014
7.3333,0.5000,-74.133420
7.5000,0.5000,-73.369435
7.6667,0.5000,-72.507269
7.8333,0.5000,-71.695893
8.0000,0.5000,-71.076677
8.1667,0.5000,-70.763440
8.3333,0.5000,-70.826527
8.5000,0.5000,-71.286328
8.6667,0.5000,-72.118389
8.8333,0.5000,-73.268313
9.0000,0.5000,-74.671509
9.1667,0.5000,-76.271258
9.3333,0.5000,-78.028675
9.5000,0.5000,-79.920448
9.6667,0.5000,-81.924835
9.8333,0.5000,-84.001912
10.0000,0.5000,-86.077844
10.1667,0.5000,-88.042207
10.3333,0.5000,-89.761782
10.5000,0.5000,-91.106472
10.6667,0.5000,-91.977619
10.8333,0.5000,-92.329010
11.0000,0.5000,-92.175526
11.1667,0.5000,-91.589953
11.3333,0.5000,-90.691646
11.5000,0.5000,-89.630728
11.6667,0.5000,-88.570361
11.8333,0.5000,-87.669210
12.0000,0.5000,-87.066571
12.1667,0.5000,-86.872323
12.3333,0.5000,-87.162025
12.5000,0.5000,-87.975268
12.6667,0.5000,-89.314746
12.8333,0.5000,-91.145382
13.0000,0.5000,-93.395892
13.1667,0.5000,-95.966658
13.3333,0.5000,-98.745914
13.5000,0.5000,-101.631724
13.6667,0.5000,-104.552891
13.8333,0.5000,-107.480993
14.0000,0.5000,-110.429349
14.1667,0.5000,-113.440788
14.3333,0.5000,-116.571170
14.5000,0.5000,-119.876624
14.6667,0.5000,-123.409458
14.8333,0.5000,-127.222765
15.0000,0.5000,-131.379842
15.1667,0.5000,-135.963508
15.3333,0.5000,-141.082184
15.5000,0.5000,-146.872666
15.6667,0.5000,-153.501765
15.8333,0.5000,-161.169114
16.0000,0.5000,-170.111800
16.1667,0.5000,-180.609600
16.3333,0.5000,-192.988942
16.5000,0.5000,-207.624579
16.6667,0.5000,-224.939071
16.8333,0.5000,-245.400865
17.0000,0.5000,-269.522156
17.1667,0.5000,-297.858971
17.3333,0.5000,-331.017894
17.5000,0.5000,-369.674711
17.6667,0.5000,-414.607068
17.8333,0.5000,-466.735749
18.0000,0.5000,-527.160833
18.1667,0.5000,-597.176693
18.3333,0.5000,-678.258011
18.5000,0.5000,-772.025137
18.6667,0.5000,-880.211508
18.8333,0.5000,-1004.658885
19.0000,0.5000,-1147.356858
19.1667,0.5000,-1310.529862
19.3333,0.5000,-1496.767842
19.5000,0.5000,-1709.195607
19.6667,0.5000,-1951.669076
19.8333,0.5000,-2228.957917
20.0000,0.5000,-2546.816988
20.1667,0.5000,-2911.774935
20.3333,0.5000,-3330.410938
20.5000,0.5000,-3807.901442
20.6667,0.5000,-4345.754620
20.8333,0.5000,-4938.939484
21.0000,0.5000,-5573.010252
21.1667,0.5000,-6222.177800
21.3333,0.5000,-6849.389411
21.5000,0.5000,-7409.195130
21.6667,0.5000,-7853.490326
21.8333,0.5000,-8139.279194
22.0000,0.5000,-8236.703002
22.1667,0.5000,-8135.122697
22.3333,0.5000,-7845.381377
22.5000,0.5000,-7397.508676
22.6667,0.5000,-6834.608588
22.8333,0.5000,-6204.809859
23.0000,0.5000,-5553.495077
23.1667,0.5000,-4917.569757
23.3333,0.5000,-4322.628315
23.5000,0.5000,-3782.922972
23.6667,0.5000,-3303.346598
23.8333,0.5000,-2882.353944
24.0000,0.5000,-2514.855908
24.1667,0.5000,-2194.477925
24.3333,0.5000,-1914.975170
24.5000,0.5000,-1670.894351
24.6667,0.5000,-1457.714285
24.8333,0.5000,-1271.711790
25.0000,0.5000,-1109.741874
25.1667,0.5000,-969.042254
25.3333,0.5000,-847.104994
25.5000,0.5000,-741.615952
25.6667,0.5000,-650.444151
25.8333,0.5000,-571.658740
26.0000,0.5000,-503.551784
26.1667,0.5000,-444.647993
26.3333,0.5000,-393.689642
26.5000,0.5000,-349.597602
26.6667,0.5000,-311.422806
26.8333,0.5000,-278.308186
27.0000,0.5000,-249.474672
27.1667,0.5000,-224.230417
27.3333,0.5000,-201.990047
27.5000,0.5000,-182.288183
27.6667,0.5000,-164.778183
27.8333,0.5000,-149.216241
28.0000,0.5000,-135.436420
28.1667,0.5000,-123.322511
28.3333,0.5000,-112.780833
28.5000,0.5000,-103.717062
28.6667,0.5000,-96.020095
28.8333,0.5000,-89.555308
29.0000,0.5000,-84.167399
29.1667,0.5000,-79.690244
29.3333,0.5000,-75.959445
29.5000,0.5000,-72.823487
29.6667,0.5000,-70.151076
29.8333,0.5000,-67.834176
30.0000,0.5000,-65.787554
0.0000,0.6667,-21.472064
0.1667,0.6667,-22.501020
0.3333,0.6667,-23.623314
0.5000,0.6667,-24.844777
0.6667,0.6667,-26.171530
0.8333,0.6667,-27.609777
1.0000,0.6667,-29.165014
1.1667,0.6667,-30.840429
1.3333,0.6667,-32.634555
1.5000,0.6667,-34.538721
1.6667,0.6667,-36.535205
1.8333,0.6667,-38.597037
2.0000,0.6667,-40.689693
2.1667,0.6667,-42.773994
2.3333,0.6667,-44.808869
2.5000,0.6667,-46.753151
2.6667,0.6667,-48.566992
2.8333,0.6667,-50.214888
3.0000,0.6667,-51.672182
3.1667,0.6667,-52.934764
3.3333,0.6667,-54.028392
3.5000,0.6667,-55.011780
3.6667,0.6667,-55.968364
3.8333,0.6667,-56.985975
4.0000,0.6667,-58.129896
4.1667,0.6667,-59.419463
4.3333,0.6667,-60.818618
4.5000,0.6667,-62.246083
4.6667,0.6667,-63.603416
4.8333,0.6667,-64.812183
5.0000,0.6667,-65.847444
5.1667,0.6667,-66.754744
5.3333,0.6667,-67.642433
5.5000,0.6667,-68.649412
5.6667,0.6667,-69.897839
5.8333,0.6667,-71.446834
6.0000,0.6667,-73.263867
6.1667,0.6667,-75.224401
6.3333,0.6667,-77.140010
6.5000,0.6667,-78.804494
6.6667,0.6667,-80.041342
6.8333,0.6667,-80.737419
7.0000,0.6667,-80.856126
7.1667,0.6667,-80.433532
7.3333,0.6667,-79.566361
7.5000,0.6667,-78.398699
7.6667,0.6667,-77.107871
7.8333,0.6667,-75.885930
8.0000,0.6667,-74.914998
8.1667,0.6667,-74.340469
8.3333,0.6667,-74.250245
8.5000,0.6667,-74.667301
8.6667,0.6667,-75.557983
8.8333,0.6667,-76.852831
9.0000,0.6667,-78.472885
9.1667,0.6667,-80.352743
9.3333,0.6667,-82.452050
9.5000,0.6667,-84.750234
9.6667,0.6667,-87.225466
9.8333,0.6667,-89.826414
10.0000,0.6667,-92.450436
10.1667,0.6667,-94.940754
10.3333,0.6667,-97.107072
10.5000,0.6667,-98.763155
10.6667,0.6667,-99.767422
10.8333,0.6667,-100.052762
11.0000,0.6667,-99.638528
11.1667,0.6667,-98.625562
11.3333,0.6667,-97.179423
11.5000,0.6667,-95.506926
11.6667,0.6667,-93.829620
11.8333,0.6667,-92.357638
12.0000,0.6667,-91.268250
12.1667,0.6667,-90.692967
12.3333,0.6667,-90.713823
12.5000,0.6667,-91.365345
12.6667,0.6667,-92.637116
12.8333,0.6667,-94.474563
13.0000,0.6667,-96.780640
13.1667,0.6667,-99.424246
13.3333,0.6667,-102.259359
13.5000,0.6667,-105.152544
13.6667,0.6667,-108.009920
13.8333,0.6667,-110.792771
14.0000,0.6667,-113.515687
14.1667,0.6667,-116.229689
14.3333,0.6667,-118.999936
14.5000,0.6667,-121.888940
14.6667,0.6667,-124.951590
14.8333,0.6667,-128.241323
15.0000,0.6667,-131.821672
15.1667,0.6667,-135.776837
15.3333,0.6667,-140.218063
15.5000,0.6667,-145.286955
15.6667,0.6667,-151.159088
15.8333,0.6667,-158.050217
16.0000,0.6667,-166.224055
16.1667,0.6667,-175.998089
16.3333,0.6667,-187.744432
16.5000,0.6667,-201.885816
16.6667,0.6667,-218.889611
16.8333,0.6667,-239.262988
17.0000,0.6667,-263.550914
17.1667,0.6667,-292.338587
17.3333,0.6667,-326.262488
17.5000,0.6667,-366.036616
17.6667,0.6667,-412.497434
17.8333,0.6667,-466.660748
18.0000,0.6667,-529.771191
18.1667,0.6667,-603.320918
18.3333,0.6667,-689.025990
18.5000,0.6667,-788.773061
18.6667,0.6667,-904.569946
18.8333,0.6667,-1038.536855
19.0000,0.6667,-1192.959444
19.1667,0.6667,-1370.405065
19.3333,0.6667,-1573.896251
19.5000,0.6667,-1807.140496
19.6667,0.6667,-2074.813025
19.8333,0.6667,-2382.853424
20.0000,0.6667,-2738.656224
20.1667,0.6667,-3150.925913
20.3333,0.6667,-3628.874953
20.5000,0.6667,-4180.441063
20.6667,0.6667,-4809.368983
20.8333,0.6667,-5511.388728
21.0000,0.6667,-6270.267359
21.1667,0.6667,-7055.011880
21.3333,0.6667,-7819.676786
21.5000,0.6667,-8506.869852
21.6667,0.6667,-9055.134789
21.8333,0.6667,-9409.117746
22.0000,0.6667,-9530.190083
22.1667,0.6667,-9404.548580
22.3333,0.6667,-9046.239369
22.5000,0.6667,-8494.094159
22.6667,0.6667,-7803.593805
22.8333,0.6667,-7036.218331
